Virsliga,2001,Latvia,15000.0,20343.24
UAEArabianGulfLeague,2016,UnitedArabEmirates,121445.09,126373.79
UAEArabianGulfLeague,2015,UnitedArabEmirates,539597.32,562903.04
UAEArabianGulfLeague,2014,UnitedArabEmirates,375035.97,390568.7
UAEArabianGulfLeague,2013,UnitedArabEmirates,304278.07,319565.95
UAEArabianGulfLeague,2012,UnitedArabEmirates,111396.65,119587.79
TorneoInicial,2014,Argentina,93906.25,97795.53
TorneoInicial,2006,Argentina,66623.38,80995.1
TorneoInicial,2005,Argentina,75740.74,94168.93
TorneoFinal,2013,Argentina,71432.93,75021.94
TorneoFinal,2012,Argentina,63621.62,68299.8
TorneoFinal,2011,Argentina,35474.25,39132.06
TorneoFinal,2010,Argentina,97104.68,109496.11
TorneoFinal,2009,Argentina,42046.51,47847.43
TorneoFinal,2008,Argentina,69872.12,80828.64
TorneoFinal,2007,Argentina,102420.21,122159.71
TorneoFinal,2006,Argentina,132190.48,160706.06
TorneoFinal,2005,Argentina,56795.37,70614.03
SüperLig,2018,Turkey,203895.22,207077.47
SüperLig,2017,Turkey,239887.01,246907.36
SüperLig,2016,Turkey,170822.18,177754.79
SüperLig,2015,Turkey,216546.18,225899.02
SüperLig,2014,Turkey,185043.29,192707.16
SüperLig,2013,Turkey,244643.58,256935.24
SüperLig,2012,Turkey,281468.53,302165.27
SüperLig,2011,Turkey,306904.76,338550.15
SüperLig,2010,Turkey,239497.91,270060.01
SüperLig,2009,Turkey,164672.9,187391.88
SüperLig,2008,Turkey,145569.4,168395.86
SüperLig,2007,Turkey,95477.1,113878.45
SüperLig,2006,Turkey,134187.5,163133.87
SüperLig,2005,Turkey,99082.57,123189.97
SüperLig,2004,Turkey,132035.93,168034.8
SüperLig,2003,Turkey,96787.88,125665.6
SüperLig,2002,Turkey,106470.59,141430.32
SüperLig,2001,Turkey,68395.72,92759.39
SüperLig,2000,Turkey,185810.81,258465.48
SuperLeague,2018,Switzerland,110092.59,111810.84
SuperLeague,2017,Greece,72921.35,75055.41
SuperLeague,2017,Switzerland,100486.73,103427.49
SuperLeague,2016,Greece,56643.03,58941.81
SuperLeague,2016,Switzerland,127341.04,132509.02
SuperLeague,2015,Greece,76666.67,79977.97
SuperLeague,2015,Switzerland,154689.27,161370.44
SuperLeague,2014,Greece,51544.4,53679.2
SuperLeague,2014,Switzerland,122670.81,127751.42
SuperLeague,2013,Switzerland,113037.97,118717.35
SuperLeague,2013,Greece,26595.29,27931.52
SuperLeague,2012,Switzerland,110400.0,118517.85
SuperLeague,2011,Greece,39920.21,44036.44
SuperLeague,2011,Switzerland,48494.62,53494.97
SuperLeague,2010,Greece,45597.19,51415.8
SuperLeague,2010,Switzerland,50523.26,56970.48
SuperLeague,2009,Greece,92475.49,105233.81
SuperLeague,2009,Switzerland,42198.95,48020.9
SuperLeague,2008,Greece,155476.19,179856.12
SuperLeague,2007,Greece,108689.84,129637.69
SuperLeague,2007,Switzerland,86266.67,102892.89
SuperLeague,2006,Greece,42201.26,51304.74
SuperLeague,2006,Switzerland,59289.94,72079.72
SuperLeague,2005,Greece,40646.15,50535.61
SuperLeague,2004,Switzerland,64042.55,81503.4
SuperLeague,2004,Greece,29855.6,37995.56
SuperLeague,2003,Greece,29000.0,37652.47
SuperLeague,2003,Switzerland,25538.46,33158.14
SuperLeague,2002,Greece,38449.2,51074.03
SuperLeague,2002,Switzerland,42105.26,55930.57
SuperLeague,2001,Greece,174512.82,236677.11
SuperLeague,2001,Switzerland,43089.43,58438.58
SuperLeague,2000,Greece,104028.44,144705.03
SuperLeague,2000,Switzerland,76020.41,105745.47
SerieC-GironeB,2004,Italy,20154.32,25649.29
SerieC-GironeB,2003,Italy,2271.29,2948.96
SerieC-GironeB,2000,Italy,2312.14,3216.22
SerieC-GironeA,2002,Italy,1261.83,1676.15
SerieC-GironeA,2001,Italy,11733.33,15912.94
SerieC-GironeA,2000,Italy,1492.54,2076.14
SerieB,2018,Italy,59154.76,60078.01
SerieB,2017,Italy,56715.48,58375.27
SerieB,2016,Italy,27027.03,28123.89
SerieB,2015,Italy,40872.41,42637.73
SerieB,2014,Italy,32216.04,33550.32
SerieB,2013,Italy,52771.62,55423.03
SerieB,2012,Italy,17921.48,19239.27
SerieB,2011,Italy,56224.49,62021.88
SerieB,2010,Italy,46692.81,52651.24
SerieB,2009,Italy,41784.17,47548.9
SerieB,2008,Italy,55166.05,63816.54
SerieB,2007,Italy,49624.77,59188.97
SerieB,2006,Italy,40147.06,48807.42
SerieB,2005,Italy,13771.11,17121.7
SerieB,2004,Italy,21984.88,27978.93
SerieB,2003,Italy,39138.24,50815.56
SerieB,2002,Italy,44364.04,58931.02
SerieB,2001,Italy,7126.44,9664.99
SerieB,2000,Italy,10974.36,15265.49
SerieA,2018,Italy,963855.42,978898.62
SerieA,2017,Italy,795631.83,818916.18
SerieA,2016,Italy,634300.37,660042.66
SerieA,2015,Italy,506566.01,528445.08
SerieA,2014,Italy,300300.32,312737.75
SerieA,2013,Italy,366056.88,384448.72
SerieA,2012,Italy,443581.5,476198.62
SerieA,2011,Italy,529199.32,583765.81
SerieA,2010,Italy,439345.18,495409.61
SerieA,2009,Italy,554649.03,631170.79
SerieA,2008,Italy,779322.92,901527.07
SerieA,2007,Italy,673901.69,803783.12
SerieA,2006,Italy,437840.14,532289.21
SerieA,2005,Italy,333654.19,414834.32
SerieA,2004,Italy,397495.22,505870.11
SerieA,2003,Italy,332800.79,432095.53
SerieA,2002,Italy,768564.81,1020923.93
SerieA,2001,Italy,1906130.65,2585125.28
SerieA,2000,Italy,1227821.78,1707917.55
