,Name_of_Legue,Year,Nationality,Expend_by_player,Expend_INFLACION
0,1.HNL,2018,Croatia,37470.24,38055.05
1,1.HNL,2017,Croatia,15696.2,16155.56
2,1.HNL,2016,Croatia,24840.99,25849.13
3,1.HNL,2015,Croatia,36944.44,38540.11
4,1.HNL,2014,Croatia,35437.5,36905.2
5,1.HNL,2013,Croatia,18796.3,19740.68
6,1.HNL,2011,Croatia,12957.75,14293.84
7,1.HNL,2010,Croatia,12427.75,14013.64
8,1.HNL,2009,Croatia,16529.97,18810.51
9,1.HNL,2008,Croatia,50862.07,58837.65
10,1.HNL,2007,Croatia,30794.98,36730.11
11,1.HNL,2006,Croatia,13782.61,16755.74
12,1.HNL,2005,Croatia,7871.29,9786.42
13,1.Lig,2012,Turkey,9575.37,10279.46
14,2.Bundesliga,2018,Germany,141223.02,143427.13
15,2.Bundesliga,2017,Germany,87222.22,89774.8
16,2.Bundesliga,2016,Germany,173106.06,180131.36
17,2.Bundesliga,2015,Germany,164456.52,171559.56
18,2.Bundesliga,2014,Germany,143309.09,149244.47
19,2.Bundesliga,2013,Germany,63821.14,67027.71
20,2.Bundesliga,2011,Germany,41467.18,45742.92
21,2.Bundesliga,2010,Germany,40792.95,45998.5
22,2.Bundesliga,2009,Germany,54248.93,61733.34
23,2.Bundesliga,2008,Germany,57456.14,66465.73
24,2.Bundesliga,2007,Germany,156900.83,187140.41
25,2.Bundesliga,2006,Germany,45887.45,55786.1
26,2.Bundesliga,2004,Germany,20859.73,26547.02
27,2.Bundesliga,2003,Germany,10762.71,13973.88
28,2.Bundesliga,2002,Germany,10954.77,14551.79
29,2.Bundesliga,2001,Germany,42434.78,57550.74
30,2.Bundesliga,2000,Germany,41611.57,57882.29
31,3.Liga,2002,Germany,2412.06,3204.06
32,3.Liga,2001,Germany,7195.77,9759.02
33,3.Liga,2000,Germany,2444.44,3400.26
34,AlkaSuperligaen,2016,Denmark,73488.37,76470.81
35,AlkaSuperligaen,2015,Denmark,97380.95,101586.93
36,AlkaSuperligaen,2014,Denmark,129047.62,134392.34
37,AlkaSuperligaen,2013,Denmark,68571.43,72016.67
38,AlkaSuperligaen,2008,Denmark,142482.27,164824.64
39,AlkaSuperligaen,2007,Denmark,140489.51,167566.13
40,AlkaSuperligaen,2006,Denmark,91313.87,111011.72
41,AlkaSuperligaen,2005,Denmark,66376.81,82526.7
42,AlkaSuperligaen,2004,Denmark,29929.58,38089.71
43,Allsvenskan,2005,Sweden,68796.99,85535.73
44,Bundesliga,2018,Germany,1780000.0,1807781.02
45,Bundesliga,2017,Germany,2289683.54,2356691.68
46,Bundesliga,2016,Germany,2273198.65,2365453.6
47,Bundesliga,2015,Germany,1618259.39,1688153.56
48,Bundesliga,2014,Germany,1269931.03,1322527.32
49,Bundesliga,2013,Germany,1134758.36,1191772.14
50,Bundesliga,2012,Germany,951019.74,1020949.44
51,Bundesliga,2011,Germany,805869.57,888963.92
52,Bundesliga,2010,Germany,803721.8,906284.0
53,Bundesliga,2009,Germany,1074061.14,1222243.22
54,Bundesliga,2008,Germany,830681.82,960939.46
55,Bundesliga,2007,Germany,1108204.08,1321788.85
56,Bundesliga,2006,Germany,712955.67,866751.52
57,Bundesliga,2005,Germany,495936.07,616600.39
58,Bundesliga,2004,Germany,414106.28,527010.08
59,Bundesliga,2003,Germany,435154.64,564987.77
60,Bundesliga,2002,Germany,746234.57,991261.52
61,Bundesliga,2001,Germany,1114303.03,1511235.83
62,Bundesliga,2000,Germany,679649.12,945401.59
63,BundesligaAustria,2016,Austria,143801.65,149637.66
64,BundesligaAustria,2014,Austria,90845.07,94607.57
65,BundesligaAustria,2012,Austria,129285.71,138792.26
66,BundesligaAustria,2010,Austria,113774.83,128293.54
67,BundesligaAustria,2009,Austria,61956.52,70504.31
68,BundesligaAustria,2006,Austria,49924.24,60693.69
69,BundesligaAustria,2005,Austria,125945.95,156589.37
70,BundesligaAustria,2004,Austria,33517.24,42655.53
71,BundesligaAustria,2003,Austria,13307.69,17278.19
72,BundesligaAustria,2002,Austria,36355.14,48292.39
73,BundesligaAustria,2001,Austria,93953.49,127421.24
74,BundesligaAustria,2000,Austria,88290.6,122813.48
75,CampeonatoBrasileiroSérieA,2018,Brazil,185492.75,188387.8
76,CampeonatoBrasileiroSérieA,2017,Brazil,84103.34,86564.65
77,CampeonatoBrasileiroSérieA,2016,Brazil,150748.3,156866.23
78,CampeonatoBrasileiroSérieA,2015,Brazil,93176.62,97201.01
79,CampeonatoBrasileiroSérieA,2014,Brazil,108064.92,112540.61
80,CampeonatoBrasileiroSérieA,2013,Brazil,69303.28,72785.29
81,CampeonatoBrasileiroSérieA,2012,Brazil,155033.47,166433.28
82,CampeonatoBrasileiroSérieA,2011,Brazil,118451.94,130665.68
83,CampeonatoBrasileiroSérieA,2010,Brazil,109590.71,123575.48
84,CampeonatoBrasileiroSérieA,2009,Brazil,49671.26,56524.12
85,CampeonatoBrasileiroSérieA,2008,Brazil,27921.94,32300.33
86,CampeonatoBrasileiroSérieA,2007,Brazil,19173.36,22868.66
87,CampeonatoBrasileiroSérieA,2006,Brazil,49823.43,60571.14
88,CampeonatoBrasileiroSérieA,2005,Brazil,61578.95,76561.49
89,CampeonatoBrasileiroSérieA,2004,Brazil,125259.52,159410.83
90,Championship,2018,England,434679.25,441463.42
91,Championship,2017,England,505319.15,520107.43
92,Championship,2016,England,601341.26,625745.95
93,Championship,2015,England,303777.78,316898.23
94,Championship,2014,England,172896.63,180057.43
95,Championship,2013,England,60600.0,63644.73
96,Championship,2012,England,135696.89,145674.85
97,Championship,2011,England,110258.62,121627.54
98,Championship,2010,England,88812.03,100145.25
99,Championship,2009,England,137808.44,156821.09
100,Championship,2008,England,115643.41,133777.24
101,Championship,2007,England,197892.31,236032.2
102,Championship,2006,England,174973.82,212718.45
103,Championship,2005,England,100131.09,124493.6
104,Championship,2004,England,50236.56,63933.28
105,Championship,2003,England,54591.35,70879.27
106,Championship,2002,England,28515.15,37878.13
107,Championship,2001,England,214702.55,291183.08
108,Championship,2000,England,309687.5,430779.71
109,ChinaLeagueOne,2017,China,99259.26,102164.11
110,ChinaLeagueOne,2016,China,352278.48,366575.27
111,ChinaLeagueOne,2015,China,353562.5,368833.2
112,ChineseSuperLeague,2018,China,1604943.18,1629992.03
113,ChineseSuperLeague,2017,China,935721.65,963105.77
114,ChineseSuperLeague,2016,China,2710547.26,2820551.47
115,ChineseSuperLeague,2015,China,2061840.8,2150893.67
116,ChineseSuperLeague,2014,China,635714.29,662043.44
117,ChineseSuperLeague,2013,China,403795.92,424083.88
118,ChineseSuperLeague,2012,China,319350.0,342832.22
119,ChineseSuperLeague,2011,China,241692.31,266613.54
120,ChineseSuperLeague,2010,China,115628.42,130383.65
121,EgyptianPremierLeague,2018,Egypt,139857.72,142040.53
122,Ekstraklasa,2010,Poland,46537.47,52476.07
123,Ekstraklasa,2008,Poland,31623.19,36581.96
124,Ekstraklasa,2005,Poland,24272.15,30177.72
125,Ekstraklasa,2003,Poland,8177.34,10617.14
126,Ekstraklasa,2002,Poland,2893.62,3843.74
127,Ekstraklasa,2000,Poland,6723.16,9352.02
128,Eliteserien,2012,Norway,51069.52,54824.73
129,Eliteserien,2007,Norway,72339.18,86281.15
130,Eliteserien,2006,Norway,107291.67,130436.18
131,Eliteserien,2004,Norway,48717.95,62000.63
132,Eliteserien,2003,Norway,25285.71,32829.98
133,Eliteserien,2002,Norway,13712.12,18214.51
134,Eliteserien,2001,Norway,8720.93,11827.47
135,Eliteserien,2000,Norway,41358.02,57529.6
136,Eredivisie,2018,Netherlands,301013.07,305711.08
137,Eredivisie,2017,Netherlands,364391.14,375055.14
138,Eredivisie,2016,Netherlands,208957.53,217437.81
139,Eredivisie,2015,Netherlands,202167.83,210899.65
140,Eredivisie,2014,Netherlands,142166.67,148054.73
141,Eredivisie,2013,Netherlands,137986.11,144918.96
142,Eredivisie,2012,Netherlands,180545.45,193821.19
143,Eredivisie,2011,Netherlands,266949.81,294475.38
144,Eredivisie,2010,Netherlands,167624.52,189014.93
145,Eredivisie,2009,Netherlands,222551.44,253255.59
146,Eredivisie,2008,Netherlands,345164.84,399289.48
147,Eredivisie,2007,Netherlands,418152.17,498742.87
148,Eredivisie,2006,Netherlands,208547.85,253534.94
149,Eredivisie,2005,Netherlands,138941.61,172746.96
150,Eredivisie,2004,Netherlands,98546.1,125414.15
151,Eredivisie,2003,Netherlands,147487.92,191492.55
152,Eredivisie,2002,Netherlands,199336.73,264789.17
153,Eredivisie,2001,Netherlands,306705.2,415958.57
154,Eredivisie,2000,Netherlands,274971.43,382489.17
155,FortunaLiga,2017,CzechRepublic,61755.73,63563.02
156,FortunaLiga,2004,CzechRepublic,12373.74,15747.37
157,FortunaLiga,2003,CzechRepublic,31445.78,40827.98
